Удельный расход кокса (кг/т),Чугун.Si,Чугун.P,t колошникового газа 4 (°С),t колошникового газа 3 (°С),t колошникового газа 1 (°С),t колошникового газа 2 (°С),t колошникового газа в пылеуловителе (°С),Чугун.Ti,Уровень засыпи (юг) (м),Положение клапана малый снорт (%),Уровень засыпи (север) (м),Уровень засыпи (запад) (м),Уровень засыпи (восток) (м),Длительность простоя (сут),t периферийных газов 5 (°С),O₂ в горячем дутье,Колошниковый газ (H₂),Чугун.C,Содержание кислорода в дутье (%),Перепад давлений нижний (ат),Колошниковый газ (CO₂),Расход холодного дутья (м³/ч),Перепад давлений общий (ат),Расход природного газа (м³/ч),Выход колошникового газа (м³/ч),Шлак,упдп,CO₂ в колошниковом газе (%)
484.7010091,,,201.254034,235.4877345,206.6365337,213.768067,191.7797953,,1.446503411,4.209887698,1.386954278,1.247543064,1.666171595,0.0,586.2142792,25.56666692,7.366666794,,26.05564022,0.899894675,17.83333333,199787.9954,1.174656247,12998.95101,271337.1016,,,
493.1421607,,,190.2852923,218.7758598,195.5362943,208.9729633,182.6466351,,1.779687797,2.098512232,1.784302473,1.58564132,2.030833905,0.0,600.6478831,26.13333321,7.166666508,,25.77388366,0.919162807,18.40000025,200453.7702,1.193253984,12979.69043,273234.2435,,,
481.0863944,,,171.7034384,196.3403568,180.7147465,181.5309639,163.5875568,,1.664552743,1.146791982,1.603161166,1.480964869,1.86772879,0.0,476.3145549,25.89999962,7.699999968,,26.166792,0.925503083,18.96666654,200361.873,1.189809283,12999.13826,275218.7617,,,
476.4297638,,,164.2149563,198.4639549,173.3257891,167.2329203,158.2715378,,1.298357919,1.681565671,1.223659108,1.096634286,1.509043356,0.0,467.9023717,26.3333327,7.23333327,,26.37570206,0.896969621,18.96666718,200706.4818,1.159678519,12893.2502,275674.9447,,,
474.8343008,,,162.1172562,196.2222411,166.6867828,159.3655802,153.1254584,,1.223778064,0.147865973,1.17566737,1.034451619,1.452294519,0.0,512.9286054,26.5,7.166666508,,26.42356292,0.9246875,18.43333308,202718.61,1.190274303,12998.73018,275484.8073,,,
473.3695605,,,176.5675672,212.582894,177.0736637,176.5015799,168.6845118,,1.168135141,2.340389215,1.136599742,1.018357642,1.393411388,0.0,538.989919,25.96666654,7.399999936,,26.18353923,0.930875262,18.16666667,201445.8639,1.197540725,12998.58838,273763.1367,,,
469.2356449,,,174.013799,212.2483482,168.4587256,171.0461623,164.303833,,1.140429343,1.274161637,1.111635362,0.96577928,1.350457122,0.0,545.951561,25.70000076,7.5,,26.53649155,0.935344912,18.43333371,200360.0742,1.202091441,12999.17985,273580.8034,,,
463.2924384,,,169.9170049,207.1863155,162.3891754,165.8001499,159.1610438,,1.128927191,0.498843986,1.072823152,0.95398917,1.356017431,0.0,547.7239011,26.23333359,7.433333238,,26.77790769,0.936060193,18.96666718,198210.0215,1.2045602,12999.0977,273190.1471,,,
461.1677909,,,175.835858,208.8630962,165.2861315,171.6917852,164.1510868,,1.091485446,2.066950098,1.072126066,0.946845586,1.33073701,0.0,554.9154358,26.03333346,7.400000095,,26.81064288,0.920771954,18.79999987,201973.4688,1.186396634,12987.10706,276499.6341,,,
473.2978058,,,182.5205046,219.867712,175.1928438,181.357378,172.3492082,,1.05845763,2.093864453,1.073987732,0.918090157,1.280691425,0.0,571.0115077,26.5,7.300000032,,26.51064634,0.953677081,18.76666641,205084.347,1.232605914,13829.73006,279058.4583,,,
