Количество чугуна (т),Перепад давлений общий (ат),Перепад давлений нижний (ат),Расход природного газа (м³/ч),Расход холодного дутья (м³/ч),Выход колошникового газа (м³/ч),Колошниковый газ (H₂),O₂ в горячем дутье,t колошникового газа 2 (°С),t колошникового газа 1 (°С),Уровень засыпи (север) (м),t периферийных газов 5 (°С),t колошникового газа 4 (°С),t колошникового газа 3 (°С),Уровень засыпи (запад) (м),Уровень засыпи (восток) (м)
4172.808,1.1767212,0.935593178,13849.51135,208571.832,293109.1602,7.5,26.59999975,171.6841882,163.7466125,1.013509544,513.7183037,178.2714678,218.987751,0.871661646,1.296229079
4260.225,1.16617852,0.914605044,13919.59574,210379.9466,297572.2865,7.166666667,25.43333371,157.8004761,152.958552,1.054532848,490.0112063,168.7428424,208.7143834,0.920416283,1.361837054
3995.825,1.180496524,0.919666099,13657.13574,205925.8158,289887.7305,7.366666635,25.89999962,174.9209677,176.7253157,1.034379644,555.7315915,190.3117892,220.5048828,0.933094735,1.284316078
3953.585,1.186795374,0.91695256,13499.13989,202415.3854,281911.6536,7.133333206,25.29999987,192.007782,186.3720932,1.029831526,565.9821625,199.9163799,233.3747813,0.925760053,1.250488684
3682.452,1.086872686,0.843077846,12129.20567,190954.508,260789.3408,7.200000127,26.20000013,185.9665165,182.2978484,1.14530057,558.6238963,190.3812122,222.1106593,0.975618519,1.349522027
4171.131,1.169273138,0.905377321,13366.80188,208761.444,292791.3867,7.300000032,26.33333333,177.7681319,168.380923,1.112848212,500.4833425,180.7495683,216.9221789,0.973884781,1.326608961
3986.169,1.170675293,0.907606107,13499.01412,206617.6745,292588.2396,7.433333397,26.90000025,189.2674065,181.5889537,1.297936325,552.5585912,193.5862821,223.4177373,1.162367436,1.527391046
4138.014,1.191426794,0.932195611,13589.44071,208056.3177,294578.444,7.100000064,26.0,168.6402709,166.9314836,1.059813154,507.9356766,175.1482728,217.151612,0.918551393,1.312485913
4170.889,1.208491052,0.946824079,13998.61056,209284.9935,296764.9583,5.550000072,26.82499981,176.7544111,172.9946213,1.041099884,520.7660459,179.1658649,218.7841314,0.878412835,1.264990926
4227.631,1.210225622,0.949639012,14411.17061,206234.7161,295094.7318,7.466666698,27.60000038,172.5443166,173.6146425,1.047203206,520.8892148,180.0271155,215.5035934,0.911691286,1.26928029
4190.04,1.210092326,0.939540801,14498.41174,204140.0163,291933.9505,7.533333302,27.19999949,174.382871,168.4848633,1.133824858,503.84412,179.3754304,211.3215453,1.000985305,1.340778848
3671.519,1.094105633,0.854841728,12425.28572,186975.3592,258237.0426,7.53333346,27.73333359,171.5731233,162.9524301,1.254679061,504.2047691,177.3849564,206.6050924,1.130579193,1.511828964
3955.723,1.164551174,0.915108159,14140.15369,200003.8099,281078.2956,7.333333333,27.53333282,172.123909,168.4310169,1.274226112,521.4189072,186.0681012,210.1496805,1.184379098,1.550548161
4045.964,1.17021816,0.914045716,14456.58289,200031.2806,282732.543,7.599999905,26.33333333,162.0335941,161.8855565,1.068724856,577.4425583,179.6488756,207.561484,0.972716081,1.334007606
3754.089,1.150801219,0.886350115,14011.42863,192814.6647,271395.1842,7.600000064,26.89999962,193.7057476,183.6753368,1.34659375,584.3016561,197.5220394,221.9629027,1.192390904,1.537135676
3946.286,1.185757895,0.930035914,13936.69865,197741.4238,281975.9544,7.566666603,26.73333295,184.6453959,177.3142999,1.222246925,529.6123505,181.983497,211.6434994,1.081469811,1.374137113
3873.598,1.140133679,0.892785872,12923.53442,199888.0677,278866.4525,7.333333333,26.73333295,168.7345174,161.1977158,1.238668524,464.5183423,169.5518265,201.9511553,1.091443082,1.421599706
4006.095,1.14962181,0.899004628,13185.39783,204236.2324,286007.9323,7.166666667,26.33333333,165.5402673,154.376166,1.250774334,429.0011368,167.696895,201.9076341,1.09617923,1.506492391
4097.178,1.175769026,0.924989256,13614.04354,204473.0579,287798.6081,7.166666667,27.13333321,168.6111813,156.322614,1.282982841,441.8075854,167.5213903,204.7044303,1.100961208,1.500765517
4124.274,1.182515626,0.922992475,13498.86796,207504.8301,293753.7721,7.400000095,26.96666654,181.8352515,171.9255466,1.16485972,504.8537127,185.0218862,216.0347042,1.019311776,1.384357015
4115.998,1.183775465,0.91735822,13498.71582,207850.0182,293091.0286,7.599999905,26.90000025,184.1472588,176.3295027,1.236846499,518.3258108,183.7855689,212.3531176,1.082545054,1.407642285
4241.766,1.187408586,0.931951689,13498.77466,212054.7741,298637.2083,7.333333333,26.80000051,163.2874031,152.8277086,1.289252728,438.9261157,160.7464059,193.7187748,1.121518485,1.461635778
4267.561,1.196476211,0.940194674,13498.52445,208972.362,294845.6797,7.333333492,26.83333333,169.6898848,154.3125585,1.294726258,462.4028358,162.9915778,201.7940394,1.125891286,1.538412904
4236.581,1.209349846,0.948998551,13507.03499,207758.2064,293779.888,7.199999968,26.60000038,157.0003821,146.860796,1.26156502,482.893074,159.6445586,191.7521782,1.154488439,1.522925054
4136.177,1.193771258,0.939342114,13999.70813,204088.5853,288112.7266,7.466666698,27.46666654,163.093043,152.0373357,1.191111391,528.4243965,163.3994598,198.8486017,1.053436557,1.475831494
4182.283,1.219911178,0.955465284,14042.5068,202803.1204,285178.5833,7.26666673,26.93333308,169.0933895,157.4189555,1.291776846,491.1941325,172.014595,201.4729576,1.197454038,1.561141695
4247.408,1.198887159,0.948802089,14499.85075,202820.4095,282765.8763,7.400000095,27.56666692,165.6405252,151.6145922,1.338384827,427.0159187,161.7854888,194.1350244,1.203229194,1.631814743
4194.621,1.192208469,0.939761105,14443.03361,206306.0254,284540.2381,7.466666698,27.26666641,165.5395253,151.9378503,1.213969494,393.969251,160.4235961,202.330328,1.076415045,1.519624487
4261.234,1.214433139,0.954852703,14499.76156,208462.6152,287167.6432,7.5,27.29999987,167.3172913,155.6777465,1.354408662,367.8956401,165.3134944,195.9016927,1.234857172,1.615618418
4316.189,1.215929136,0.953297749,14811.60299,211258.1816,294017.7057,7.433333397,26.46666654,177.6945705,162.5604121,1.313849248,390.8537992,169.735925,205.8047848,1.156849876,1.563672016
4378.173,1.208488733,0.946114014,14988.27136,213480.89,296188.9648,7.433333397,26.86666679,185.5754871,173.8140977,1.274547204,446.950559,179.8690414,216.2931792,1.120361172,1.53777719
4248.198,1.221400018,0.950697129,14999.5745,212645.8542,296334.9323,7.399999936,26.66666667,185.3646463,181.6433214,1.128211391,520.4932175,187.7733072,225.290404,1.006659403,1.398433869
4432.729,1.232252675,0.970605759,14999.56089,212159.1608,296421.4835,7.566666603,27.03333346,188.2327576,182.5651003,1.593312144,506.4450486,183.2517987,213.3906618,1.447035151,1.77847201
4152.208,1.219329667,0.933860167,14955.58704,203495.9167,275988.5063,7.433333397,26.79999987,169.7922536,166.8044383,1.142596213,421.940509,167.1531484,212.1654765,1.06437639,1.41500996
4066.633,1.241785308,0.966256077,14999.74357,206843.9779,281118.7487,7.933333397,27.89999962,168.2445056,163.1680603,1.229301179,424.817613,164.5243937,209.5166486,1.119067617,1.482610643
3279.873,1.053146776,0.815296936,11957.16332,175319.3197,257248.6124,7.649999857,27.85000038,183.530625,180.5424563,1.577691818,477.0192121,181.6032976,217.3137678,1.432145059,1.858574783
3936.16,1.206547742,0.931615164,13982.82068,201587.1934,261972.8047,7.5,27.6666673,195.5490125,189.87795,1.354110246,502.4415436,191.5242767,230.3791809,1.252517184,1.646297266
4093.153,1.176905662,0.915343747,13896.95557,204775.3646,272804.3216,7.333333174,27.09999975,178.3499393,164.7398701,1.217904473,369.6033948,177.8526827,218.1293691,1.153060613,1.560707981
4266.584,1.197163636,0.925230781,13876.12724,207597.9368,286598.6667,7.166666667,26.90000025,180.468022,164.6362108,1.299073944,347.4633738,177.1886508,209.6050173,1.214502439,1.603595734
4062.544,1.219035029,0.92786777,13825.99117,202277.2174,279453.7005,7.533333302,27.06666629,191.1460609,173.1453718,1.615758911,377.5369466,185.4600023,211.5982234,1.534281765,1.844145571
4303.092,1.207626065,0.915861771,13500.22925,211265.7402,293129.3893,7.366666635,27.85000038,176.7417088,175.0877031,1.131280437,498.5906626,179.7023697,212.2856833,1.050099907,1.406772465
4506.677,1.213224863,0.935455441,13499.49361,214719.4245,300755.3281,7.100000064,26.20000013,165.1765486,154.1390381,1.35529392,427.1436691,162.4582939,197.2968801,1.268381541,1.663072894
4315.855,1.264973377,0.967247978,13500.28666,210347.862,291325.4622,7.099999905,26.60000038,165.0163854,156.3031572,1.28127117,346.9037577,162.1303838,195.3225924,1.220110238,1.5482371
4107.145,1.240100888,0.947853414,13343.20968,202067.3359,276316.4974,7.23333327,26.46666718,172.0114199,162.7883116,1.560933053,354.8081449,168.5494016,194.090264,1.474073805,1.8355025
3929.786,1.113676225,0.87004138,13225.64616,196634.3776,260233.7018,7.733333429,26.70000013,181.8136559,164.844979,2.100260645,399.4669177,171.4758574,191.8692099,1.948462874,2.442277198
3795.079,1.099539633,0.861216438,13174.88005,195562.5775,259823.8477,7.666666826,26.56666692,191.2814382,180.5209891,2.075151886,437.1304957,185.4416231,211.7100843,1.941600248,2.411524355
4063.135,1.14191857,0.870279498,13000.72498,201750.2676,272382.4427,7.133333206,26.23333359,156.3159599,173.7344945,0.863151056,495.2912216,166.3579114,202.1187134,0.787907769,1.218446597
3958.192,1.139953991,0.867802081,13000.53874,201645.8691,270684.944,7.066666603,26.13333384,163.2526334,181.7113489,0.83665327,525.6431007,178.4906769,214.5815964,0.754072368,1.173611805
3888.542,1.167853574,0.893708048,13000.31018,199215.3053,266373.849,7.200000127,26.73333359,159.2555866,173.3317318,0.99883192,496.8779475,174.3279355,205.3712819,0.928058532,1.326105381
4093.353,1.170777395,0.928004588,12999.91911,200684.6979,270199.6458,7.166666667,26.53333346,160.4237378,174.872399,1.451802832,414.5696449,163.0327562,183.4669704,1.390086194,1.661168123
4066.655,1.180537611,0.921809033,13000.5933,203492.8418,274155.8867,7.23333327,26.5,160.4504306,183.3895353,0.854320742,501.5270348,177.090531,206.6509368,0.813776766,1.136968836
4130.695,1.216496259,0.941989879,13191.53271,203533.7949,274250.4167,7.366666794,26.49999936,166.5481974,182.0379721,0.91644114,564.2281138,180.7436256,209.2132683,0.825912555,1.16959473
4074.832,1.188272988,0.919139872,12999.74976,203252.8138,276052.3867,7.433333397,26.46666654,169.5407893,183.311053,0.94147072,537.7224935,185.2380555,212.230587,0.898942632,1.219285992
